HDI Rank,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,Test2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
100, Botswana,0.57,0.58,0.58,0.58,0.57,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.6,0.62,0.63,0.64,0.65,0.66,0.68,0.69,0.7,0.71,0.72,0.72,0.73,0.73,0.74
84, Brazil,0.61,0.62,0.63,0.64,0.64,0.65,0.66,0.67,0.67,0.68,0.69,0.69,0.7,0.7,0.7,0.7,0.7,0.71,0.72,0.72,0.73,0.73,0.74,0.75,0.76,0.76,0.76,0.76,0.76,0.77
47, Brunei Darussalam,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.8,0.8,0.8,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
56, Bulgaria,0.71,0.71,0.71,0.7,0.71,0.71,0.72,0.71,0.72,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.77,0.78,0.78,0.79,0.79,0.8,0.8,0.81,0.81,0.81,0.81,0.81,0.82
182, Burkina Faso,,,,,,,,,,,0.29,0.3,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.41,0.42,0.43,0.44,0.44,0.45
185, Burundi,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.3,0.3,0.3,0.31,0.32,0.33,0.34,0.36,0.37,0.38,0.4,0.41,0.42,0.43,0.43,0.44,0.44,0.44,0.43,0.43,0.43
126, Cabo Verde,,,,,,,,,,,0.57,0.57,0.58,0.59,0.59,0.6,0.61,0.62,0.63,0.63,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.66,0.66,0.67
144, Cambodia,0.37,0.37,0.38,0.38,0.39,0.39,0.4,0.4,0.41,0.41,0.42,0.44,0.46,0.47,0.48,0.49,0.51,0.52,0.53,0.53,0.54,0.55,0.55,0.56,0.57,0.57,0.58,0.58,0.59,0.59
153, Cameroon,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.46,0.46,0.46,0.47,0.47,0.47,0.48,0.49,0.5,0.51,0.51,0.53,0.53,0.54,0.55,0.55,0.56,0.56,0.56
16, Canada,0.85,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.91,0.91,0.92,0.92,0.92,0.93,0.93,0.93
188, Central African Republic,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.36,0.37,0.37,0.38,0.36,0.37,0.38,0.38,0.39,0.4,0.4
187, Chad,,,,,,,,,,,0.29,0.3,0.31,0.31,0.32,0.33,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.39,0.4,0.4,0.39,0.4,0.4,0.4
43, Chile,0.71,0.72,0.72,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.76,0.77,0.77,0.78,0.79,0.79,0.79,0.8,0.81,0.82,0.8,0.82,0.82,0.83,0.84,0.84,0.85,0.85,0.85,0.85
85, China,0.5,0.51,0.52,0.53,0.53,0.55,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.67,0.68,0.69,0.7,0.71,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.76
83, Colombia,0.6,0.61,0.62,0.62,0.63,0.64,0.65,0.66,0.66,0.66,0.67,0.67,0.67,0.67,0.68,0.69,0.7,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.76,0.76,0.76,0.76,0.77
156, Comoros,,,,,,,,,,,0.47,0.47,0.48,0.48,0.48,0.49,0.5,0.5,0.51,0.51,0.52,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55
149, Congo,0.5,0.5,0.5,0.49,0.49,0.47,0.47,0.47,0.48,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.49,0.5,0.51,0.52,0.52,0.54,0.55,0.56,0.58,0.58,0.57,0.57,0.57
175, Congo (Democratic Republic of the),0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.37,0.38,0.39,0.4,0.41,0.42,0.44,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.48,0.48
62, Costa Rica,0.67,0.67,0.68,0.69,0.69,0.7,0.7,0.71,0.71,0.72,0.72,0.73,0.73,0.73,0.74,0.74,0.75,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.8,0.8,0.8,0.8,0.81,0.81
43, Croatia,0.68,0.67,0.67,0.67,0.69,0.7,0.72,0.73,0.74,0.75,0.76,0.77,0.77,0.78,0.79,0.79,0.8,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.85,0.85
70, Cuba,0.68,0.67,0.67,0.66,0.66,0.66,0.67,0.67,0.68,0.68,0.69,0.7,0.7,0.71,0.72,0.73,0.76,0.77,0.78,0.79,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.78,0.78,0.78
33, Cyprus,0.74,0.74,0.74,0.78,0.78,0.79,0.79,0.79,0.8,0.8,0.8,0.81,0.82,0.83,0.83,0.84,0.84,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.88,0.89,0.89
27, Czechia,0.74,0.73,0.74,0.74,0.75,0.76,0.78,0.78,0.78,0.79,0.8,0.81,0.82,0.83,0.83,0.84,0.85,0.86,0.86,0.87,0.87,0.87,0.87,0.88,0.89,0.89,0.89,0.9,0.9,0.9
162, C�te d'Ivoire,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.42,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.47,0.48,0.49,0.49,0.5,0.51,0.53,0.53,0.54
10, Denmark,0.81,0.81,0.82,0.82,0.83,0.84,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.9,0.91,0.91,0.91,0.91,0.92,0.91,0.92,0.93,0.93,0.93,0.94,0.93,0.94,0.94,0.94,0.94
166, Djibouti,,,,,,0.35,0.35,0.35,0.36,0.36,0.36,0.37,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.51,0.52,0.52
94, Dominica,,,,,,,,,,,0.7,0.71,0.71,0.71,0.71,0.72,0.72,0.73,0.73,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
88, Dominican Republic,0.6,0.6,0.61,0.62,0.62,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.67,0.68,0.69,0.69,0.7,0.7,0.71,0.71,0.71,0.72,0.73,0.74,0.74,0.75,0.75,0.76
86, Ecuador,0.65,0.65,0.65,0.66,0.66,0.67,0.67,0.67,0.68,0.67,0.68,0.68,0.68,0.69,0.69,0.7,0.7,0.71,0.72,0.72,0.73,0.73,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.76
116, Egypt,0.55,0.55,0.56,0.56,0.57,0.58,0.59,0.59,0.59,0.61,0.61,0.62,0.62,0.63,0.63,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.68,0.69,0.69,0.7,0.7,0.7,0.71
