Countries,Type,Amount 
Hungary,Balance2020,-55018
Iran,Balance2019,-55002
Croatia,Balance2019,-54830
Cyprus,Balance2018,-54627
Costa Rica,Balance2019,-54607
Costa Rica,Balance2017,-54004
India,Balance2019,-53913
Costa Rica,Balance2018,-53704
Costa Rica,Balance2016,-53605
Morocco,Balance2016,-53591
Iraq,Balance2016,-52976
Bahrain,Balance2019,-52828
Algeria,Balance2016,-52438
Morocco,Balance2017,-52221
Cambodia,Balance2018,-52167
Viet Nam,Balance2017,-50690
Cyprus,Balance2017,-50186
Croatia,Balance2017,-49179
Czech Republic,Balance2016,-49130
Croatia,Balance2016,-48514
Bahrain,Balance2017,-47306
Cyprus,Balance2016,-46343
Indonesia,Balance2016,-45356
Costa Rica,Balance2020,-45232
Hungary,Balance2019,-44865
Bosnia and Herzegovina,Balance2019,-44771
Bosnia and Herzegovina,Balance2018,-44683
Bahrain,Balance2016,-44623
Lebanon,Balance2017,-44126
Cyprus,Balance2019,-44112
Lithuania,Balance2017,-42929
Lebanon,Balance2018,-42795
Egypt,Balance2019,-42686
El Salvador,Balance2019,-42629
El Salvador,Balance2016,-42340
El Salvador,Balance2018,-42333
Serbia,Balance2020,-41968
Algeria,Balance2018,-41948
Turkey,Balance2020,-41366
Argentina,Balance2020,-41276
El Salvador,Balance2017,-40789
Lithuania,Balance2019,-40431
Serbia,Balance2019,-40403
Myanmar,Balance2020,-39495
Bangladesh,Balance2019,-39324
Bosnia and Herzegovina,Balance2017,-39132
Denmark,Balance2020,-39048
Serbia,Balance2018,-38860
Nepal,Balance2019,-38704
Bosnia and Herzegovina,Balance2020,-38232
Argentina,Balance2016,-37545
Bosnia and Herzegovina,Balance2016,-37481
Serbia,Balance2017,-37475
Lithuania,Balance2016,-37435
Nepal,Balance2016,-37256
Namibia,Balance2018,-36929
Viet Nam,Balance2016,-36588
Nigeria,Balance2020,-36444
Guatemala,Balance2019,-36054
Nepal,Balance2018,-36052
Tunisia,Balance2017,-35788
Lithuania,Balance2018,-35737
Cambodia,Balance2019,-35500
Guatemala,Balance2018,-35411
Namibia,Balance2017,-35214
Libya,Balance2019,-35160
Dominican Republic,Balance2018,-35031
Egypt,Balance2017,-34914
Dominican Republic,Balance2019,-34882
Namibia,Balance2019,-34879
Cyprus,Balance2020,-34554
Greece,Balance2020,-33751
Lithuania,Balance2020,-33555
Bolivia,Balance2016,-33357
Tunisia,Balance2016,-32959
Dominican Republic,Balance2017,-32870
Bolivia,Balance2017,-32806
Bolivia,Balance2018,-32664
Algeria,Balance2017,-32405
Lebanon,Balance2016,-32350
Jordan,Balance2019,-31955
Guatemala,Balance2020,-31457
Bolivia,Balance2019,-31171
Nepal,Balance2017,-31170
Namibia,Balance2016,-31087
Bulgaria,Balance2018,-30865
Libya,Balance2018,-30601
Bulgaria,Balance2019,-30520
Georgia,Balance2020,-30504
Georgia,Balance2019,-30477
Bangladesh,Balance2018,-30469
