Date,Country,Confirmed,Recovered,Deaths,Continent,Active
10/13/2020,Pakistan,320463,305080,6601,Asia,8782
10/13/2020,Panama,121296,97297,2511,North America,21488
10/13/2020,Papua New Guinea,565,537,7,Oceania,21
10/13/2020,Paraguay,51197,33325,1108,South America,16764
10/13/2020,Peru,853974,748097,33419,South America,72458
10/13/2020,Philippines,344713,293383,6372,Asia,44958
10/13/2020,Poland,135278,82004,3101,Europe,50173
10/13/2020,Portugal,89121,54047,2110,Europe,32964
10/13/2020,Qatar,128405,125373,220,Asia,2812
10/13/2020,Romania,160461,120515,5535,Europe,34411
10/13/2020,Rwanda,4908,4130,32,Africa,746
10/13/2020,Saint Kitts and Nevis,19,19,0,North America,0
10/13/2020,Saint Lucia,29,27,0,North America,2
10/13/2020,Saint Vincent and the Grenadines,64,64,0,North America,0
10/13/2020,San Marino,741,682,42,Europe,17
10/13/2020,Sao Tome and Principe,929,895,15,Africa,19
10/13/2020,Saudi Arabia,340089,326339,5087,Asia,8663
10/13/2020,Senegal,15307,13508,315,Africa,1484
10/13/2020,Serbia,35006,0,767,Europe,34239
10/13/2020,Seychelles,148,144,0,Africa,4
10/13/2020,Sierra Leone,2309,1738,72,Africa,499
10/13/2020,Singapore,57884,57740,28,Asia,116
10/13/2020,Slovakia,20886,6388,61,Europe,14437
10/13/2020,Slovenia,9231,5314,173,Europe,3744
10/13/2020,Solomon Islands,2,0,0,Oceania,2
10/13/2020,Somalia,3864,3089,99,Africa,676
10/13/2020,South Africa,694537,625574,18028,Africa,50935
10/13/2020,South Sudan,2798,1290,55,Africa,1453
10/13/2020,Spain,896086,150376,33204,Europe,712506
10/13/2020,Sri Lanka,5038,3328,13,Asia,1697
10/13/2020,Sudan,13691,6764,836,Africa,6091
10/13/2020,Suriname,5072,4870,107,South America,95
10/13/2020,Sweden,100654,0,5899,Europe,94755
10/13/2020,Switzerland,65881,49800,2103,Europe,13978
10/13/2020,Syria,4826,1364,231,Asia,3231
10/13/2020,Tajikistan,10297,9177,79,Asia,1041
10/13/2020,Tanzania,509,183,21,Africa,305
10/13/2020,Thailand,3652,3457,59,Asia,136
10/13/2020,Togo,1972,1465,50,Africa,457
10/13/2020,Trinidad and Tobago,5127,3367,93,North America,1667
10/13/2020,Tunisia,32556,5032,478,Africa,27046
10/13/2020,Turkey,338779,296972,8957,Asia,32850
10/13/2020,US,7856605,3124593,215887,North America,4516125
10/13/2020,Uganda,9945,6347,95,Africa,3503
10/13/2020,Ukraine,277982,120999,5254,Europe,151729
10/13/2020,United Arab Emirates,108608,100007,448,Asia,8153
10/13/2020,United Kingdom,637708,2535,43108,Europe,592065
10/13/2020,Uruguay,2337,1987,51,South America,299
10/13/2020,Uzbekistan,61642,58613,511,Asia,2518
10/13/2020,Venezuela,84391,76262,710,South America,7419
10/13/2020,Vietnam,1113,1025,35,Asia,53
10/13/2020,Yemen,2053,1329,596,Asia,128
10/13/2020,Zambia,15587,14783,345,Africa,459
10/13/2020,Zimbabwe,8036,7632,230,Africa,174
