Year,Location,MinTemp,MaxTemp,Rainfall,Humidity,Pressure,WindSpeed
2014,Bairnsdale East,13.5,25,0,66,1017.6,19
2014,Bairnsdale East,12.9,23.6,0,67,1019,19
2014,Bairnsdale East,12.4,24.2,0,54,1019.6,15
2014,Bairnsdale East,10.7,25.1,0,50,1021,6
2014,Bairnsdale East,10.6,26.2,0,46,1019.1,0
2014,Bairnsdale East,11.5,21.1,0,48,1019.8,13
2014,Bairnsdale East,7.9,21.3,0,39,1019.9,6
2014,Bairnsdale East,9.1,23.8,0,39,1021.5,11
2014,Bairnsdale East,10.9,26.2,0,39,1019.3,15
2014,Bairnsdale East,13.1,29.1,0,32,1017.3,17
2014,Bairnsdale East,14.2,28.7,0,33,1014.9,7
2014,Bairnsdale East,12.9,30.5,0,42,1016.9,9
2014,Bairnsdale East,17.4,24.2,0,33,1015.5,13
2014,Bairnsdale East,12.5,25.3,4.8,84,1020.5,9
2014,Bairnsdale East,13.2,27,0,69,1021.9,17
2014,Bairnsdale East,15.8,26.7,0,59,1015.8,24
2014,Bairnsdale East,13.3,20,3.4,79,1017.4,19
2014,Bairnsdale East,4.7,19.2,0,66,1017.8,7
2014,Bairnsdale East,8,18.5,0,55,1010.7,15
2014,Bairnsdale East,7.2,12,10,79,1005.1,26
2014,Bairnsdale East,7.6,13.9,3.8,86,1013.7,20
2014,Bairnsdale East,4,15.8,0,58,1023,9
2014,Bairnsdale East,9.5,18.4,0,67,1024.7,2
2014,Bairnsdale East,6.3,17.9,0,74,1024,7
2014,Bairnsdale East,8.7,21.2,0,63,1023.6,20
2014,Bairnsdale East,11,21.5,0,64,1023.2,19
2014,Bairnsdale East,13.3,19.9,0,51,1021,17
2014,Bairnsdale East,8.5,19.7,0.6,88,1025,13
2014,Bairnsdale East,8.7,21.8,0,71,1028.3,17
2014,Bairnsdale East,11,23.3,0,66,1027.5,19
2014,Bairnsdale East,12.2,24.6,0,56,1026.6,20
2014,Bairnsdale East,10.5,24.2,0,48,1026.8,17
2014,Bairnsdale East,12.7,25.6,0,58,1028.1,11
2014,Bairnsdale East,15.7,24.6,0,44,1028.9,19
2014,Bairnsdale East,15.6,25.4,0,48,1027,17
2014,Bairnsdale East,13,25.3,0,50,1025.6,20
2014,Bairnsdale East,14.4,24.1,0,53,1024.4,11
2014,Bairnsdale East,12.7,25.9,0,54,1025,0
2014,Bairnsdale East,12.4,25.8,0,50,1023.6,15
2014,Bairnsdale East,14,26.8,0,48,1019.1,13
2014,Bairnsdale East,13,27.6,0,39,1017.7,9
2014,Bairnsdale East,14.1,27,0,47,1019.9,6
2014,Bairnsdale East,13.9,28.6,0,46,1021.7,20
2014,Bairnsdale East,18.6,25.8,0,38,1014,20
2014,Bairnsdale East,10.4,20.6,1.4,65,1017.8,7
2014,Bairnsdale East,8.1,20.6,0,69,1024,9
2014,Bairnsdale East,7.2,20.2,0,73,1023.8,17
2014,Bairnsdale East,10.3,22.6,0.6,83,1019.6,19
2014,Bairnsdale East,11.7,14.9,33.2,94,1018.2,9
2014,Bairnsdale East,9.7,15.9,0.4,96,1019.8,7
2014,Bairnsdale East,6.1,15.9,0,90,1021.9,6
2014,Bairnsdale East,10.7,16.2,0,73,1026.2,6
2014,Bairnsdale East,7.3,17.6,0.2,86,1027.4,13
2014,Bairnsdale East,7.2,16.9,0,99,1027.5,15
2014,Bairnsdale East,8.5,17.7,0,91,1028.8,9
2014,Bairnsdale East,5.8,16.6,0,97,1027.8,11
2014,Bairnsdale East,4.1,17,0,67,1028.9,13
2014,Bairnsdale East,6.1,18.3,0,73,1029.3,17
2014,Bairnsdale East,7.8,18.9,0,73,1024.4,20
2014,Bairnsdale East,8.9,21.5,0,54,1018.5,19
2014,Bairnsdale East,11.3,14,3,92,1015.3,19
2014,Bairnsdale East,7.5,14.7,1.6,95,1014.7,7
2014,Bairnsdale East,6.7,14.4,1.2,96,1019.3,17
2014,Bairnsdale East,3.9,13.8,0,89,1026.2,6
2014,Bairnsdale East,6.3,16.4,0,82,1029.5,13
2014,Bairnsdale East,5.5,17.7,0.2,84,1030.7,9
2014,Bairnsdale East,6.6,20,0,83,1026,15
2014,Bairnsdale East,8.4,20.8,0,77,1019.6,9
2014,Bairnsdale East,6.6,19.8,0,61,1021.1,7
2014,Bairnsdale East,4.7,17.9,1,90,1023.1,4
2014,Bairnsdale East,9.8,16.2,0,68,1014.9,17
2014,Bairnsdale East,4.7,16,0,65,0,24
2014,Bairnsdale East,7.4,16.6,0,82,1022,17
2014,Bairnsdale East,4.1,17.5,0,68,1026.4,7
2014,Bairnsdale East,5.3,19.1,0,64,1021.6,17
2014,Bairnsdale East,6.7,15.8,0,46,1008.4,15
2014,Bairnsdale East,4.6,14.1,0.4,75,1013.8,20
2014,Bairnsdale East,4.5,12.9,0,88,1023.3,13
2014,Bairnsdale East,4.3,15.1,0,68,1029.7,9
2014,Bairnsdale East,3.9,15.7,0,67,1030.9,6
2014,Bairnsdale East,1.1,21.3,0,90,0,0
2014,Bairnsdale East,5.2,19.9,0,50,1022.7,11
2014,Bairnsdale East,4.6,15.2,0,67,1021.2,15
2014,Bairnsdale East,3.7,12.9,0,61,1020.2,9
